name,url,facebook,twitter,other
初心者支部,https://jawsug-bgnr.connpass.com/,https://www.facebook.com/groups/1568052690139353/,https://twitter.com/jawsug_bgnr,
CLI専門支部,https://jawsug-cli.doorkeeper.jp/,https://www.facebook.com/groups/jaswug.cli/,,
コンテナ支部,http://jawsug-container.connpass.com/,,https://twitter.com/jawsugcontainer,
HPC,http://jawsug-hpc.connpass.com/,https://www.facebook.com/jawsughpc/,,
Ops JAWS,https://opsjaws.doorkeeper.jp/,,,
アーキテクチャ専門支部,http://jawsug-arch.connpass.com/,https://www.facebook.com/groups/jawsug.architecture/,,
JAWS-UG情シス,http://jawsug-sysad.connpass.com/,,,
IoT専門支部,https://jawsug-iot.connpass.com/,https://www.facebook.com/groups/1558462757775497/,,
NW-JAWS,,,,
Security-JAWS,https://s-jaws.doorkeeper.jp,,https://twitter.com/security_jaws,
ビッグデータ支部,https://jawsug-bigdata.connpass.com/,,,
AI支部,https://jawsug-ai.connpass.com/,,,
